,log2_fold_change,absolute_fold_change,regulation
hsa-mir-4496,7.6833980895959435,7.6833980895959435,upregulated
hsa-mir-6867,7.665897172850202,7.665897172850202,upregulated
hsa-mir-4526,7.546542496736202,7.546542496736202,upregulated
hsa-mir-4779,7.5351746959278,7.5351746959278,upregulated
hsa-mir-3657,7.520763383789808,7.520763383789808,upregulated
hsa-mir-4675,7.5206217341782615,7.5206217341782615,upregulated
hsa-mir-4704,7.514679639799374,7.514679639799374,upregulated
hsa-mir-520f,7.479980690315695,7.479980690315695,upregulated
hsa-mir-3197,7.464523213193892,7.464523213193892,upregulated
hsa-mir-933,7.448681570326043,7.448681570326043,upregulated
hsa-mir-622,7.389536555887808,7.389536555887808,upregulated
hsa-mir-6862-2,7.371767227654807,7.371767227654807,upregulated
hsa-mir-4764,7.350569036144626,7.350569036144626,upregulated
hsa-mir-518c,7.34120470080784,7.34120470080784,upregulated
hsa-mir-3120,7.320376314248968,7.320376314248968,upregulated
hsa-mir-4774,7.319183684286503,7.319183684286503,upregulated
hsa-mir-7978,7.274395172958641,7.274395172958641,upregulated
hsa-mir-4429,7.253463390394774,7.253463390394774,upregulated
hsa-mir-548ao,7.221167799109292,7.221167799109292,upregulated
hsa-mir-5196,7.167721210704117,7.167721210704117,upregulated
hsa-mir-4450,7.15036863624233,7.15036863624233,upregulated
hsa-mir-3160-2,7.144218843079631,7.144218843079631,upregulated
hsa-mir-4520-2,7.064047045701874,7.064047045701874,upregulated
hsa-mir-3160-1,7.04802787024105,7.04802787024105,upregulated
hsa-mir-4655,7.004963837422906,7.004963837422906,upregulated
hsa-mir-4458,7.003338431192823,7.003338431192823,upregulated
hsa-mir-4420,6.9895533312043625,6.9895533312043625,upregulated
hsa-mir-548f-4,6.983505832237423,6.983505832237423,upregulated
hsa-mir-516b-1,6.974440337930705,6.974440337930705,upregulated
hsa-mir-647,6.969836852898252,6.969836852898252,upregulated
hsa-mir-603,6.95221540716583,6.95221540716583,upregulated
hsa-mir-4452,6.947204152932761,6.947204152932761,upregulated
hsa-mir-3135a,6.9131907317868055,6.9131907317868055,upregulated
hsa-mir-1302-3,6.902479971920866,6.902479971920866,upregulated
hsa-mir-512-1,6.891410585649778,6.891410585649778,upregulated
hsa-mir-525,6.8855978144022,6.8855978144022,upregulated
hsa-mir-4430,6.875553851874542,6.875553851874542,upregulated
hsa-mir-1193,6.859912579981383,6.859912579981383,upregulated
hsa-mir-941-1,6.842524653180459,6.842524653180459,upregulated
hsa-mir-1290,6.80152390325017,6.80152390325017,upregulated
hsa-mir-1825,6.800253541738013,6.800253541738013,upregulated
hsa-mir-6835,6.79861130497333,6.79861130497333,upregulated
hsa-mir-802,6.7720039310094835,6.7720039310094835,upregulated
hsa-mir-4803,6.770592292882134,6.770592292882134,upregulated
hsa-mir-6780a,6.743847128693716,6.743847128693716,upregulated
hsa-mir-4696,6.729281252596644,6.729281252596644,upregulated
hsa-mir-6831,6.6985875439250595,6.6985875439250595,upregulated
hsa-mir-5583-2,6.689045559801569,6.689045559801569,upregulated
hsa-mir-550b-1,6.688705319791873,6.688705319791873,upregulated
hsa-mir-4712,6.671437086522101,6.671437086522101,upregulated
hsa-mir-4635,6.642879909988554,6.642879909988554,upregulated
hsa-mir-1263,6.636545436588278,6.636545436588278,upregulated
hsa-mir-378b,6.635806958667447,6.635806958667447,upregulated
hsa-mir-518a-2,6.594470123165745,6.594470123165745,upregulated
hsa-mir-4504,6.585798313214534,6.585798313214534,upregulated
hsa-mir-6080,6.560548733287529,6.560548733287529,upregulated
hsa-mir-5194,6.560323331271405,6.560323331271405,upregulated
hsa-mir-4539,6.558580002952471,6.558580002952471,upregulated
hsa-mir-7158,6.557244421894418,6.557244421894418,upregulated
hsa-mir-3121,6.554144319735678,6.554144319735678,upregulated
hsa-mir-518b,6.498127649946665,6.498127649946665,upregulated
hsa-mir-4780,6.48740400560496,6.48740400560496,upregulated
hsa-mir-520c,6.482025937133054,6.482025937133054,upregulated
hsa-mir-526b,6.4812380315945335,6.4812380315945335,upregulated
hsa-mir-6500,6.442540491707203,6.442540491707203,upregulated
hsa-mir-6876,6.437698002267058,6.437698002267058,upregulated
hsa-mir-5093,6.435530200264847,6.435530200264847,upregulated
hsa-mir-5047,6.4162415923655285,6.4162415923655285,upregulated
hsa-mir-922,6.409225597730785,6.409225597730785,upregulated
hsa-mir-7157,6.409033522469404,6.409033522469404,upregulated
hsa-mir-1182,6.394873686321726,6.394873686321726,upregulated
hsa-mir-3148,6.358754303993791,6.358754303993791,upregulated
hsa-mir-519c,6.345687926843955,6.345687926843955,upregulated
hsa-mir-6790,6.335440127006915,6.335440127006915,upregulated
hsa-mir-520g,6.3138994643415485,6.3138994643415485,upregulated
hsa-mir-5195,6.306799883662506,6.306799883662506,upregulated
hsa-mir-4467,6.305160758332561,6.305160758332561,upregulated
hsa-mir-4719,6.302992258880362,6.302992258880362,upregulated
hsa-mir-621,6.299896859481917,6.299896859481917,upregulated
hsa-mir-527,6.29789127036145,6.29789127036145,upregulated
hsa-mir-6864,6.2830778770460025,6.2830778770460025,upregulated
hsa-mir-8077,6.281316803671459,6.281316803671459,upregulated
hsa-mir-2861,6.2596263194476975,6.2596263194476975,upregulated
hsa-mir-7704,6.250793731179762,6.250793731179762,upregulated
hsa-mir-512-2,6.246140379525719,6.246140379525719,upregulated
hsa-mir-4437,6.232141025462638,6.232141025462638,upregulated
hsa-mir-302d,6.220072215422076,6.220072215422076,upregulated
hsa-mir-1322,6.199359269649183,6.199359269649183,upregulated
hsa-mir-548ak,6.1918718707019345,6.1918718707019345,upregulated
hsa-mir-4518,6.184711052810077,6.184711052810077,upregulated
hsa-mir-650,6.162028928492366,6.162028928492366,upregulated
hsa-mir-1323,6.160588711101997,6.160588711101997,upregulated
hsa-mir-517c,6.088853294542871,6.088853294542871,upregulated
hsa-mir-6752,6.056253301030633,6.056253301030633,upregulated
hsa-mir-571,-6.052735436270935,6.052735436270935,downregulated
hsa-mir-4642,6.0393359780577,6.0393359780577,upregulated
hsa-mir-3675,6.034394420754131,6.034394420754131,upregulated
hsa-mir-3142,6.029065348178575,6.029065348178575,upregulated
hsa-mir-4663,-6.025543359994316,6.025543359994316,downregulated
hsa-mir-5587,6.015155188263944,6.015155188263944,upregulated
hsa-mir-638,6.0087322993922445,6.0087322993922445,upregulated
hsa-mir-520b,5.9755360607133134,5.9755360607133134,upregulated
hsa-mir-521-1,5.975077522657814,5.975077522657814,upregulated
hsa-mir-518a-1,5.955958547510077,5.955958547510077,upregulated
hsa-mir-6841,5.950189425303334,5.950189425303334,upregulated
hsa-mir-4513,5.941404093359331,5.941404093359331,upregulated
hsa-mir-7973-1,5.929669430781367,5.929669430781367,upregulated
hsa-mir-3591,5.924755871540104,5.924755871540104,upregulated
hsa-mir-7977,5.918239983492639,5.918239983492639,upregulated
hsa-mir-4783,5.916893003738144,5.916893003738144,upregulated
hsa-mir-8079,5.884781668177328,5.884781668177328,upregulated
hsa-mir-5191,5.85875155952319,5.85875155952319,upregulated
hsa-mir-6759,5.857862468411607,5.857862468411607,upregulated
hsa-mir-617,5.84083221845687,5.84083221845687,upregulated
hsa-mir-4471,5.803424108876745,5.803424108876745,upregulated
hsa-mir-6076,5.799918976236227,5.799918976236227,upregulated
hsa-mir-371a,5.796977766886868,5.796977766886868,upregulated
hsa-mir-575,5.79568660602429,5.79568660602429,upregulated
hsa-mir-718,5.791419268080279,5.791419268080279,upregulated
hsa-mir-516b-2,5.77164121818466,5.77164121818466,upregulated
hsa-mir-550b-2,5.771096602154699,5.771096602154699,upregulated
hsa-mir-378g,5.766081476008506,5.766081476008506,upregulated
hsa-mir-4659b,5.747251069816944,5.747251069816944,upregulated
hsa-mir-3529,5.74081870081433,5.74081870081433,upregulated
hsa-mir-1281,5.739152655666179,5.739152655666179,upregulated
hsa-mir-3914-1,5.725677327693475,5.725677327693475,upregulated
hsa-mir-5583-1,5.723965481372169,5.723965481372169,upregulated
hsa-mir-602,5.706159936757261,5.706159936757261,upregulated
hsa-mir-6770-3,5.691254507828637,5.691254507828637,upregulated
hsa-mir-610,5.674171861072663,5.674171861072663,upregulated
hsa-mir-4476,5.597152678471614,5.597152678471614,upregulated
hsa-mir-4315-2,5.550405581684434,5.550405581684434,upregulated
hsa-mir-4656,5.535406280220071,5.535406280220071,upregulated
hsa-mir-4315-1,5.52858214109513,5.52858214109513,upregulated
hsa-mir-3973,5.516886972826956,5.516886972826956,upregulated
hsa-mir-517a,5.506988315026419,5.506988315026419,upregulated
hsa-mir-7852,5.504873426363109,5.504873426363109,upregulated
hsa-mir-4688,5.488793501414077,5.488793501414077,upregulated
hsa-mir-5590,5.476969870150941,5.476969870150941,upregulated
hsa-mir-3168,5.476919412422369,5.476919412422369,upregulated
hsa-mir-517b,5.474499368302063,5.474499368302063,upregulated
hsa-mir-3147,5.453301772216566,5.453301772216566,upregulated
hsa-mir-372,5.445099517972551,5.445099517972551,upregulated
hsa-mir-4428,5.434523469512041,5.434523469512041,upregulated
hsa-mir-6770-2,5.432000187822728,5.432000187822728,upregulated
hsa-mir-7107,5.428974532847617,5.428974532847617,upregulated
hsa-mir-4694,5.419315181058108,5.419315181058108,upregulated
hsa-mir-3649,5.4076414435731275,5.4076414435731275,upregulated
hsa-mir-3668,5.389036710682405,5.389036710682405,upregulated
hsa-mir-4765,5.3320264602776355,5.3320264602776355,upregulated
hsa-mir-5572,5.329101592220598,5.329101592220598,upregulated
hsa-mir-591,5.32354777113212,5.32354777113212,upregulated
hsa-mir-4686,5.303456772738044,5.303456772738044,upregulated
hsa-mir-548u,5.295587015649786,5.295587015649786,upregulated
hsa-mir-373,5.294653135116312,5.294653135116312,upregulated
hsa-mir-604,5.286616642595459,5.286616642595459,upregulated
hsa-mir-1253,5.28532813961519,5.28532813961519,upregulated
hsa-mir-4468,5.255857624386439,5.255857624386439,upregulated
hsa-mir-1912,5.188067986433048,5.188067986433048,upregulated
hsa-mir-3153,5.187859801014324,5.187859801014324,upregulated
hsa-mir-5190,5.183714073085817,5.183714073085817,upregulated
hsa-mir-3612,5.18304372219103,5.18304372219103,upregulated
hsa-mir-451b,5.181738586452732,5.181738586452732,upregulated
hsa-mir-4711,5.180576252264525,5.180576252264525,upregulated
hsa-mir-3960,5.175347560528486,5.175347560528486,upregulated
hsa-mir-5192,5.168775169026245,5.168775169026245,upregulated
hsa-mir-6077,5.157745962827182,5.157745962827182,upregulated
hsa-mir-4538,5.135445572845288,5.135445572845288,upregulated
hsa-mir-596,5.1115786291498075,5.1115786291498075,upregulated
hsa-mir-7973-2,5.096242489539841,5.096242489539841,upregulated
hsa-mir-4698,5.096117995691056,5.096117995691056,upregulated
hsa-mir-4633,5.086146742594633,5.086146742594633,upregulated
hsa-mir-5704,5.071442061447311,5.071442061447311,upregulated
hsa-mir-1283-1,5.028541812313763,5.028541812313763,upregulated
hsa-mir-518e,5.026831244809947,5.026831244809947,upregulated
hsa-mir-1199,5.026604285517417,5.026604285517417,upregulated
hsa-mir-3914-2,5.017497335847938,5.017497335847938,upregulated
hsa-mir-548ax,5.016968961631844,5.016968961631844,upregulated
hsa-mir-4790,5.007324920772135,5.007324920772135,upregulated
hsa-mir-519a-1,5.004082902451589,5.004082902451589,upregulated
hsa-mir-657,4.991924411848145,4.991924411848145,upregulated
hsa-mir-3122,4.967206311085642,4.967206311085642,upregulated
hsa-mir-3180-2,4.964122976825831,4.964122976825831,upregulated
hsa-mir-8066,4.941999195556237,4.941999195556237,upregulated
hsa-mir-4506,4.912339479132412,4.912339479132412,upregulated
hsa-mir-3184,4.862774718224024,4.862774718224024,upregulated
hsa-mir-6770-1,4.830032341320864,4.830032341320864,upregulated
hsa-mir-606,4.823586235283368,4.823586235283368,upregulated
hsa-mir-4432,4.819448076824933,4.819448076824933,upregulated
hsa-mir-208a,4.816066417703312,4.816066417703312,upregulated
hsa-mir-1244-1,4.753331411699402,4.753331411699402,upregulated
hsa-mir-4737,4.732501304423672,4.732501304423672,upregulated
hsa-mir-7847,4.729315824821422,4.729315824821422,upregulated
hsa-mir-3119-1,4.720880036463931,4.720880036463931,upregulated
hsa-mir-519a-2,4.703832255272303,4.703832255272303,upregulated
hsa-mir-515-1,4.701622690623573,4.701622690623573,upregulated
hsa-mir-5692c-1,4.699329811151482,4.699329811151482,upregulated
hsa-mir-6745,4.673032255526498,4.673032255526498,upregulated
hsa-mir-1260a,4.655028867819752,4.655028867819752,upregulated
hsa-mir-5692c-2,4.641263527186465,4.641263527186465,upregulated
hsa-mir-4503,4.627712871772876,4.627712871772876,upregulated
hsa-mir-586,4.614854368839552,4.614854368839552,upregulated
hsa-mir-298,4.586844436579536,4.586844436579536,upregulated
hsa-mir-4464,4.531562070069811,4.531562070069811,upregulated
hsa-mir-4759,4.527226326771554,4.527226326771554,upregulated
hsa-mir-892a,4.514837484796138,4.514837484796138,upregulated
hsa-mir-5682,4.488957738996911,4.488957738996911,upregulated
hsa-mir-891a,4.482171474206703,4.482171474206703,upregulated
hsa-mir-3167,4.479463777598314,4.479463777598314,upregulated
hsa-mir-8083,4.46352331825334,4.46352331825334,upregulated
hsa-mir-7856,4.461036580339698,4.461036580339698,upregulated
hsa-mir-522,4.459434145992478,4.459434145992478,upregulated
hsa-mir-3621,4.440165530255188,4.440165530255188,upregulated
hsa-mir-4497,4.435468947673992,4.435468947673992,upregulated
hsa-mir-892b,4.432601639474041,4.432601639474041,upregulated
hsa-mir-548ad,4.380161057541761,4.380161057541761,upregulated
hsa-mir-567,4.362849254953639,4.362849254953639,upregulated
hsa-mir-6071,4.34335706960544,4.34335706960544,upregulated
hsa-mir-3180-3,4.338842130801499,4.338842130801499,upregulated
hsa-mir-1298,4.310068325686006,4.310068325686006,upregulated
hsa-mir-6165,4.3054961054188805,4.3054961054188805,upregulated
hsa-mir-635,4.304166215999988,4.304166215999988,upregulated
hsa-mir-8073,4.301155517210182,4.301155517210182,upregulated
hsa-mir-630,4.294349898741408,4.294349898741408,upregulated
hsa-mir-7853,4.246489361460687,4.246489361460687,upregulated
hsa-mir-147a,4.2416819617843435,4.2416819617843435,upregulated
hsa-mir-6863,4.240962174858571,4.240962174858571,upregulated
hsa-mir-587,4.225439672917558,4.225439672917558,upregulated
hsa-mir-613,4.185205587524763,4.185205587524763,upregulated
hsa-mir-6088,4.1774983795913325,4.1774983795913325,upregulated
hsa-mir-4258,4.174346185428584,4.174346185428584,upregulated
hsa-mir-640,4.1688503767080105,4.1688503767080105,upregulated
hsa-mir-6130,4.146158647388508,4.146158647388508,upregulated
hsa-mir-3180-1,4.138111920132504,4.138111920132504,upregulated
hsa-mir-631,-4.13723984713048,4.13723984713048,downregulated
hsa-mir-3935,4.133717239901219,4.133717239901219,upregulated
hsa-mir-513c,4.1162100923820715,4.1162100923820715,upregulated
hsa-mir-378h,4.115929078957154,4.115929078957154,upregulated
hsa-mir-5007,4.102646177623593,4.102646177623593,upregulated
hsa-mir-1272,4.100627376333962,4.100627376333962,upregulated
hsa-mir-516a-1,4.099102211320826,4.099102211320826,upregulated
hsa-mir-3923,4.094215483983067,4.094215483983067,upregulated
hsa-mir-6828,4.078644442455173,4.078644442455173,upregulated
hsa-mir-623,4.058719541756244,4.058719541756244,upregulated
hsa-mir-8059,4.031730195207842,4.031730195207842,upregulated
hsa-mir-644a,4.0156385861475945,4.0156385861475945,upregulated
hsa-mir-378e,3.9899777430532177,3.9899777430532177,upregulated
hsa-mir-3155b,3.974702232504074,3.974702232504074,upregulated
hsa-mir-4788,3.917819530752946,3.917819530752946,upregulated
hsa-mir-4322,3.904858022178909,3.904858022178909,upregulated
hsa-mir-4300,3.8995056857020667,3.8995056857020667,upregulated
hsa-mir-3907,-3.888020490709935,3.888020490709935,downregulated
hsa-mir-3145,3.854846671112342,3.854846671112342,upregulated
hsa-mir-6126,3.847052611685726,3.847052611685726,upregulated
hsa-mir-498,3.8393828163814443,3.8393828163814443,upregulated
hsa-mir-8082,3.8390737181646757,3.8390737181646757,upregulated
hsa-mir-3119-2,3.757189305922072,3.757189305922072,upregulated
hsa-mir-3915,3.7553534264631927,3.7553534264631927,upregulated
hsa-mir-4256,3.7509806788623474,3.7509806788623474,upregulated
hsa-mir-4493,3.7500417169664257,3.7500417169664257,upregulated
hsa-mir-4485,3.746337941877629,3.746337941877629,upregulated
hsa-mir-4693,3.742506357037991,3.742506357037991,upregulated
hsa-mir-3141,3.729884022227175,3.729884022227175,upregulated
hsa-mir-637,3.7148409208229056,3.7148409208229056,upregulated
hsa-mir-548a-2,3.7036594996222294,3.7036594996222294,upregulated
hsa-mir-3128,3.6982472080328868,3.6982472080328868,upregulated
hsa-mir-548w,3.645514340714024,3.645514340714024,upregulated
hsa-mir-548an,3.6333416536854757,3.6333416536854757,upregulated
hsa-mir-891b,3.627509474471084,3.627509474471084,upregulated
hsa-mir-1282,-3.6256302717664433,3.6256302717664433,downregulated
hsa-mir-4279,3.623328166881062,3.623328166881062,upregulated
hsa-mir-4666b,3.6143952694187043,3.6143952694187043,upregulated
hsa-mir-507,3.593901225106515,3.593901225106515,upregulated
hsa-mir-6722,3.5752058547842793,3.5752058547842793,upregulated
hsa-mir-4718,3.555793681438573,3.555793681438573,upregulated
hsa-mir-513a-1,3.526214576574092,3.526214576574092,upregulated
hsa-mir-516a-2,3.5206124082272283,3.5206124082272283,upregulated
hsa-mir-4431,3.506268173722213,3.506268173722213,upregulated
hsa-mir-1244-2,3.505087320281722,3.505087320281722,upregulated
hsa-mir-4289,3.495655691742961,3.495655691742961,upregulated
hsa-mir-3686,3.4714583263167915,3.4714583263167915,upregulated
hsa-mir-548am,3.4515293375460354,3.4515293375460354,upregulated
hsa-mir-661,3.435370902257139,3.435370902257139,upregulated
hsa-mir-563,3.423823398342746,3.423823398342746,upregulated
hsa-mir-302c,3.375166565203327,3.375166565203327,upregulated
hsa-mir-5591,3.345002169459646,3.345002169459646,upregulated
hsa-mir-8064,3.335470008771772,3.335470008771772,upregulated
hsa-mir-548ap,3.3068121995675193,3.3068121995675193,upregulated
hsa-mir-599,3.3044079255140817,3.3044079255140817,upregulated
hsa-mir-5707,3.3019464791413586,3.3019464791413586,upregulated
hsa-mir-711,3.250430671655208,3.250430671655208,upregulated
hsa-mir-4795,3.2468267551789665,3.2468267551789665,upregulated
hsa-mir-764,3.2284278014338352,3.2284278014338352,upregulated
hsa-mir-3185,3.2004163309775664,3.2004163309775664,upregulated
hsa-mir-670,3.187663284533945,3.187663284533945,upregulated
hsa-mir-4692,3.177594323510319,3.177594323510319,upregulated
hsa-mir-6721,3.1722169011240613,3.1722169011240613,upregulated
hsa-mir-3156-1,3.146555122434825,3.146555122434825,upregulated
hsa-mir-1207,3.137617962872489,3.137617962872489,upregulated
hsa-mir-1204,3.1364268372141346,3.1364268372141346,upregulated
hsa-mir-6719,3.1238326767946316,3.1238326767946316,upregulated
hsa-mir-662,3.0993334596879936,3.0993334596879936,upregulated
hsa-mir-663a,3.0770539385943176,3.0770539385943176,upregulated
hsa-mir-3180-5,3.0691682070080444,3.0691682070080444,upregulated
hsa-mir-3663,3.059537761705314,3.059537761705314,upregulated
hsa-mir-3681,3.052239079346771,3.052239079346771,upregulated
hsa-mir-1911,3.046796746385442,3.046796746385442,upregulated
hsa-mir-509-1,3.031698590754718,3.031698590754718,upregulated
hsa-mir-519b,3.0118052221119864,3.0118052221119864,upregulated
hsa-mir-645,2.995292858028197,2.995292858028197,upregulated
hsa-mir-8085,-2.9922250576682874,2.9922250576682874,downregulated
hsa-mir-4296,2.9913442990028587,2.9913442990028587,upregulated
hsa-mir-4292,2.9717561413295157,2.9717561413295157,upregulated
hsa-mir-514b,2.9493543809127494,2.9493543809127494,upregulated
hsa-mir-3689c,2.9489421657451165,2.9489421657451165,upregulated
hsa-mir-3149,2.936116571208984,2.936116571208984,upregulated
hsa-mir-3937,-2.9108669622770025,2.9108669622770025,downregulated
hsa-mir-6727,2.897235111693795,2.897235111693795,upregulated
hsa-mir-3924,2.8798732449334343,2.8798732449334343,upregulated
hsa-mir-663b,-2.8551766386696893,2.8551766386696893,downregulated
hsa-mir-4462,2.828168374713114,2.828168374713114,upregulated
hsa-mir-1304,2.8234907022482876,2.8234907022482876,upregulated
hsa-mir-508,2.8139658820472997,2.8139658820472997,upregulated
hsa-mir-572,2.796730729802445,2.796730729802445,upregulated
hsa-mir-4756,2.7959973271059217,2.7959973271059217,upregulated
hsa-mir-4465,2.77838940207086,2.77838940207086,upregulated
hsa-mir-4510,-2.7777893450225486,2.7777893450225486,downregulated
hsa-mir-1305,2.7679443461309288,2.7679443461309288,upregulated
hsa-mir-1269b,2.763753193973707,2.763753193973707,upregulated
hsa-mir-4439,-2.7627954219803366,2.7627954219803366,downregulated
hsa-mir-4650-1,2.75273097352818,2.75273097352818,upregulated
hsa-mir-1268b,2.7393572783589457,2.7393572783589457,upregulated
hsa-mir-573,2.729432981419792,2.729432981419792,upregulated
hsa-mir-6127,2.7241700209924105,2.7241700209924105,upregulated
hsa-mir-4794,2.7112626783949736,2.7112626783949736,upregulated
hsa-mir-509-2,2.697298713281034,2.697298713281034,upregulated
hsa-mir-548x,2.617608821293348,2.617608821293348,upregulated
hsa-mir-875,2.6021305638069117,2.6021305638069117,upregulated
hsa-mir-1297,2.5892748550730644,2.5892748550730644,upregulated
hsa-mir-514a-1,2.5829433918694433,2.5829433918694433,upregulated
hsa-mir-548m,2.5803761302511057,2.5803761302511057,upregulated
hsa-mir-509-3,2.5754515516116556,2.5754515516116556,upregulated
hsa-mir-215,2.561736566225649,2.561736566225649,upregulated
hsa-mir-1203,2.5548830158135667,2.5548830158135667,upregulated
hsa-mir-5095,2.551187681773952,2.551187681773952,upregulated
hsa-mir-4508,2.5361559462058185,2.5361559462058185,upregulated
hsa-mir-4436a,2.5310882347451535,2.5310882347451535,upregulated
hsa-mir-1293,2.5286733384253446,2.5286733384253446,upregulated
hsa-mir-367,2.5279353784891527,2.5279353784891527,upregulated
hsa-mir-466,2.497976911262989,2.497976911262989,upregulated
hsa-mir-6782,2.4911257030740037,2.4911257030740037,upregulated
hsa-mir-548as,2.4852886376852674,2.4852886376852674,upregulated
hsa-mir-548h-3,2.479679676355034,2.479679676355034,upregulated
hsa-mir-583,2.4755920705023846,2.4755920705023846,upregulated
hsa-mir-4308,2.466414981725111,2.466414981725111,upregulated
hsa-mir-8052,2.462082063730101,2.462082063730101,upregulated
hsa-mir-762,2.457965788309567,2.457965788309567,upregulated
hsa-mir-513a-2,2.443394871348146,2.443394871348146,upregulated
hsa-mir-383,2.433678971928242,2.433678971928242,upregulated
hsa-mir-6804,2.4296409486758903,2.4296409486758903,upregulated
hsa-mir-6131,2.4275408728634713,2.4275408728634713,upregulated
hsa-mir-548c,2.425056411104588,2.425056411104588,upregulated
hsa-mir-1587,2.4228322582489548,2.4228322582489548,upregulated
hsa-mir-5692a-1,2.421900079471242,2.421900079471242,upregulated
hsa-mir-1289-2,-2.413170743479715,2.413170743479715,downregulated
hsa-mir-6853,2.412154366672069,2.412154366672069,upregulated
hsa-mir-4435-2,2.4044952826116175,2.4044952826116175,upregulated
hsa-mir-4534,2.396486611394334,2.396486611394334,upregulated
hsa-mir-1184-2,2.38917415483201,2.38917415483201,upregulated
hsa-mir-4263,2.3885431167242306,2.3885431167242306,upregulated
hsa-mir-3662,2.383202578347393,2.383202578347393,upregulated
hsa-mir-5681a,-2.379059575557668,2.379059575557668,downregulated
hsa-mir-5690,2.3768014164760425,2.3768014164760425,upregulated
hsa-mir-4460,2.374777189620418,2.374777189620418,upregulated
hsa-mir-3202-1,-2.3695457346039257,2.3695457346039257,downregulated
hsa-mir-211,2.3653651347670985,2.3653651347670985,upregulated
hsa-mir-548bb,2.3644974796883447,2.3644974796883447,upregulated
hsa-mir-3672,2.363674568591544,2.363674568591544,upregulated
hsa-mir-302b,-2.351205302472913,2.351205302472913,downregulated
hsa-mir-1299,2.3442076313031546,2.3442076313031546,upregulated
